CONTRACT,SPY PRICE,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE,PRICEOPEN,PRICECLOSE,ROI %,INFLATION%,y,VIX PRICE
477.0 2022-01-21,456.73,1/21/2022,2.17,0.00627,0.00214,0.00673,-0.0129,0.00061,0.19334,268,0.02,477,0.044,20.27,0.23,0.02,-91.30434783,0.5,0.0,23.02
478.0 2022-01-21,456.73,1/21/2022,2.17,0.0053,0.00204,0.00709,-0.01311,-0.00018,0.20125,9575,0.02,478,0.047,21.27,0.16,0.01,-93.75,0.5,0.0,23.02
479.0 2022-01-21,456.73,1/21/2022,2.17,0.00504,0.00186,0.00644,-0.01365,0.00022,0.20929,95,0.01,479,0.049,22.27,0.12,0.01,-91.66666667,0.5,0.0,23.02
462.0 2022-01-21,458.09,1/21/2022,2.15,0.30715,0.04634,0.14236,-0.49679,0.01093,0.18672,11122,1.46,462,0.009,3.91,6.0,0.28,-95.33333333,0.5,0.0,22.38
463.0 2022-01-21,458.09,1/21/2022,2.15,0.25931,0.04338,0.13184,-0.44369,0.00937,0.18364,7345,1.17,463,0.011,4.91,5.31,0.2,-96.23352166,0.5,0.0,22.38
464.0 2022-01-21,458.09,1/21/2022,2.15,0.2166,0.03969,0.11915,-0.38818,0.00756,0.18145,6209,0.9,464,0.013,5.91,4.64,0.15,-96.76724138,0.5,0.0,22.38
465.0 2022-01-21,458.09,1/21/2022,2.15,0.17554,0.03546,0.10519,-0.32726,0.00582,0.17951,16834,0.68,465,0.015,6.91,4.04,0.12,-97.02970297,0.5,0.0,22.38
466.0 2022-01-21,458.09,1/21/2022,2.15,0.14038,0.03095,0.09097,-0.2713,0.00476,0.17745,8970,0.52,466,0.017,7.91,3.48,0.08,-97.70114943,0.5,0.0,22.38
467.0 2022-01-21,458.09,1/21/2022,2.15,0.11006,0.0263,0.07611,-0.21645,0.0044,0.17548,8145,0.38,467,0.019,8.91,2.93,0.07,-97.6109215,0.5,0.0,22.38
468.0 2022-01-21,458.09,1/21/2022,2.15,0.08469,0.02196,0.06356,-0.17089,0.003,0.1744,4773,0.28,468,0.022,9.91,2.44,0.06,-97.54098361,0.5,0.0,22.38
469.0 2022-01-21,458.09,1/21/2022,2.15,0.06568,0.01809,0.0523,-0.13584,0.00233,0.17505,3781,0.21,469,0.024,10.91,1.98,0.05,-97.47474747,0.5,0.0,22.38
470.0 2022-01-21,458.09,1/21/2022,2.15,0.04957,0.01444,0.04131,-0.10322,0.00156,0.17487,17442,0.15,470,0.026,11.91,1.61,0.04,-97.51552795,0.5,0.0,22.38
471.0 2022-01-21,458.09,1/21/2022,2.15,0.03766,0.01146,0.03315,-0.07764,0.00126,0.17482,4095,0.11,471,0.028,12.91,1.26,0.03,-97.61904762,0.5,0.0,22.38
472.0 2022-01-21,458.09,1/21/2022,2.15,0.02742,0.0089,0.02548,-0.0583,0.00118,0.1747,2051,0.08,472,0.03,13.91,0.97,0.03,-96.90721649,0.5,0.0,22.38
473.0 2022-01-21,458.09,1/21/2022,2.15,0.02091,0.00701,0.02047,-0.04382,0.00041,0.1764,683,0.06,473,0.033,14.91,0.75,0.02,-97.33333333,0.5,0.0,22.38
474.0 2022-01-21,458.09,1/21/2022,2.15,0.017,0.00572,0.01695,-0.03695,0.00082,0.18059,2932,0.04,474,0.035,15.91,0.56,0.02,-96.42857143,0.5,0.0,22.38
475.0 2022-01-21,458.09,1/21/2022,2.15,0.01304,0.00461,0.01453,-0.02963,0.00079,0.18442,7022,0.04,475,0.037,16.91,0.42,0.02,-95.23809524,0.5,0.0,22.38
476.0 2022-01-21,458.09,1/21/2022,2.15,0.01031,0.00351,0.01101,-0.0219,0.00043,0.18463,642,0.02,476,0.039,17.91,0.3,0.02,-93.33333333,0.5,0.0,22.38
477.0 2022-01-21,458.09,1/21/2022,2.15,0.00662,0.00242,0.00702,-0.01323,0.00019,0.18177,275,0.02,477,0.041,18.91,0.23,0.02,-91.30434783,0.5,0.0,22.38
478.0 2022-01-21,458.09,1/21/2022,2.15,0.00651,0.00225,0.00672,-0.01323,-0.00024,0.19073,10580,0.01,478,0.043,19.91,0.16,0.01,-93.75,0.5,0.0,22.38
479.0 2022-01-21,458.09,1/21/2022,2.15,0.00586,0.00203,0.00691,-0.01309,-0.00029,0.19894,103,0.02,479,0.046,20.91,0.12,0.01,-91.66666667,0.5,0.0,22.38
462.0 2022-01-21,458.05,1/21/2022,2.12,0.30096,0.04709,0.14096,-0.48378,0.01055,0.18224,11929,1.39,462,0.009,3.95,6.0,0.28,-95.33333333,0.5,0.0,22.38
463.0 2022-01-21,458.05,1/21/2022,2.12,0.25136,0.04398,0.12905,-0.42364,0.00895,0.17849,8029,1.09,463,0.011,4.95,5.31,0.2,-96.23352166,0.5,0.0,22.38
464.0 2022-01-21,458.05,1/21/2022,2.12,0.20685,0.03992,0.11529,-0.36515,0.0076,0.17622,6854,0.77,464,0.013,5.95,4.64,0.15,-96.76724138,0.5,0.0,22.38
465.0 2022-01-21,458.05,1/21/2022,2.12,0.16545,0.03532,0.10073,-0.30385,0.00542,0.17383,17917,0.63,465,0.015,6.95,4.04,0.12,-97.02970297,0.5,0.0,22.38
466.0 2022-01-21,458.05,1/21/2022,2.12,0.13073,0.03051,0.08637,-0.2481,0.00468,0.172,9628,0.45,466,0.017,7.95,3.48,0.08,-97.70114943,0.5,0.0,22.38
467.0 2022-01-21,458.05,1/21/2022,2.12,0.10023,0.02557,0.07143,-0.19378,0.0034,0.1697,8470,0.3,467,0.02,8.95,2.93,0.07,-97.6109215,0.5,0.0,22.38
468.0 2022-01-21,458.05,1/21/2022,2.12,0.0772,0.02096,0.05873,-0.1511,0.00267,0.16895,5356,0.22,468,0.022,9.95,2.44,0.06,-97.54098361,0.5,0.0,22.38
469.0 2022-01-21,458.05,1/21/2022,2.12,0.05684,0.01681,0.04593,-0.11442,0.00155,0.1682,4040,0.16,469,0.024,10.95,1.98,0.05,-97.47474747,0.5,0.0,22.38
470.0 2022-01-21,458.05,1/21/2022,2.12,0.04217,0.01314,0.0358,-0.08379,0.00185,0.16756,17842,0.12,470,0.026,11.95,1.61,0.04,-97.51552795,0.5,0.0,22.38
471.0 2022-01-21,458.05,1/21/2022,2.12,0.03143,0.01043,0.02854,-0.06506,0.00099,0.16891,4184,0.09,471,0.028,12.95,1.26,0.03,-97.61904762,0.5,0.0,22.38
472.0 2022-01-21,458.05,1/21/2022,2.12,0.02479,0.00839,0.02401,-0.05175,0.00072,0.17166,2070,0.06,472,0.03,13.95,0.97,0.03,-96.90721649,0.5,0.0,22.38
473.0 2022-01-21,458.05,1/21/2022,2.12,0.01806,0.0063,0.01778,-0.03695,0.00095,0.17187,714,0.05,473,0.033,14.95,0.75,0.02,-97.33333333,0.5,0.0,22.38
474.0 2022-01-21,458.05,1/21/2022,2.12,0.01435,0.00505,0.01419,-0.02978,0.00029,0.17553,2947,0.03,474,0.035,15.95,0.56,0.02,-96.42857143,0.5,0.0,22.38
475.0 2022-01-21,458.05,1/21/2022,2.12,0.00984,0.0038,0.01104,-0.02153,3e-05,0.17646,7117,0.02,475,0.037,16.95,0.42,0.02,-95.23809524,0.5,0.0,22.38
476.0 2022-01-21,458.05,1/21/2022,2.12,0.00937,0.00344,0.01017,-0.02169,0.00015,0.18533,643,0.03,476,0.039,17.95,0.3,0.02,-93.33333333,0.5,0.0,22.38
477.0 2022-01-21,458.05,1/21/2022,2.12,0.00639,0.00237,0.0076,-0.01346,-0.00012,0.18293,456,0.02,477,0.041,18.95,0.23,0.02,-91.30434783,0.5,0.0,22.38
478.0 2022-01-21,458.05,1/21/2022,2.12,0.00631,0.00224,0.00698,-0.01315,-0.00021,0.19112,10587,0.01,478,0.044,19.95,0.16,0.01,-93.75,0.5,0.0,22.38
479.0 2022-01-21,458.05,1/21/2022,2.12,0.00616,0.00207,0.00642,-0.01314,-2e-05,0.19924,106,0.02,479,0.046,20.95,0.12,0.01,-91.66666667,0.5,0.0,22.38
462.0 2022-01-21,456.89,1/21/2022,2.1,0.24546,0.04317,0.12635,-0.42441,0.00822,0.18075,22288,1.07,462,0.011,5.11,6.0,0.28,-95.33333333,0.5,0.0,22.64
463.0 2022-01-21,456.89,1/21/2022,2.1,0.20133,0.03915,0.11305,-0.36417,0.0073,0.17828,8263,0.81,463,0.013,6.11,5.31,0.2,-96.23352166,0.5,0.0,22.64
464.0 2022-01-21,456.89,1/21/2022,2.1,0.16284,0.03456,0.09877,-0.30456,0.00615,0.17623,7701,0.61,464,0.016,7.11,4.64,0.15,-96.76724138,0.5,0.0,22.64
465.0 2022-01-21,456.89,1/21/2022,2.1,0.1282,0.02985,0.08376,-0.24622,0.0044,0.17485,19124,0.45,465,0.018,8.11,4.04,0.12,-97.02970297,0.5,0.0,22.64
466.0 2022-01-21,456.89,1/21/2022,2.1,0.09931,0.02509,0.07,-0.19609,0.00374,0.17353,10057,0.32,466,0.02,9.11,3.48,0.08,-97.70114943,0.5,0.0,22.64
467.0 2022-01-21,456.89,1/21/2022,2.1,0.07603,0.02057,0.05771,-0.15234,0.00296,0.17284,8569,0.25,467,0.022,10.11,2.93,0.07,-97.6109215,0.5,0.0,22.64
468.0 2022-01-21,456.89,1/21/2022,2.1,0.05839,0.01681,0.04726,-0.1208,0.00242,0.17377,5452,0.19,468,0.024,11.11,2.44,0.06,-97.54098361,0.5,0.0,22.64
469.0 2022-01-21,456.89,1/21/2022,2.1,0.04436,0.01334,0.03717,-0.09136,0.00196,0.17359,4117,0.13,469,0.027,12.11,1.98,0.05,-97.47474747,0.5,0.0,22.64
470.0 2022-01-21,456.89,1/21/2022,2.1,0.03177,0.01022,0.02883,-0.06499,0.00124,0.1718,18318,0.08,470,0.029,13.11,1.61,0.04,-97.51552795,0.5,0.0,22.64
471.0 2022-01-21,456.89,1/21/2022,2.1,0.0274,0.00876,0.02523,-0.05867,0.00119,0.17923,4291,0.07,471,0.031,14.11,1.26,0.03,-97.61904762,0.5,0.0,22.64
472.0 2022-01-21,456.89,1/21/2022,2.1,0.02054,0.00688,0.02019,-0.04458,0.00082,0.18025,2118,0.05,472,0.033,15.11,0.97,0.03,-96.90721649,0.5,0.0,22.64
473.0 2022-01-21,456.89,1/21/2022,2.1,0.01669,0.00568,0.01726,-0.03716,0.00019,0.18411,757,0.04,473,0.035,16.11,0.75,0.02,-97.33333333,0.5,0.0,22.64
474.0 2022-01-21,456.89,1/21/2022,2.1,0.01313,0.00451,0.01346,-0.03047,0.00095,0.18745,2990,0.04,474,0.037,17.11,0.56,0.02,-96.42857143,0.5,0.0,22.64
475.0 2022-01-21,456.89,1/21/2022,2.1,0.00988,0.00345,0.01051,-0.02141,-4e-05,0.18766,7185,0.02,475,0.04,18.11,0.42,0.02,-95.23809524,0.5,0.0,22.64
476.0 2022-01-21,456.89,1/21/2022,2.1,0.00907,0.00317,0.01039,-0.02167,-0.00013,0.19746,698,0.02,476,0.042,19.11,0.3,0.02,-93.33333333,0.5,0.0,22.64
477.0 2022-01-21,456.89,1/21/2022,2.1,0.0064,0.00222,0.00686,-0.01336,0.00057,0.19388,499,0.02,477,0.044,20.11,0.23,0.02,-91.30434783,0.5,0.0,22.64
478.0 2022-01-21,456.89,1/21/2022,2.1,0.00572,0.00203,0.00637,-0.01355,0.00045,0.20217,10795,0.02,478,0.046,21.11,0.16,0.01,-93.75,0.5,0.0,22.64
479.0 2022-01-21,456.89,1/21/2022,2.1,0.00578,0.00185,0.00615,-0.01383,0.00057,0.21062,106,0.02,479,0.048,22.11,0.12,0.01,-91.66666667,0.5,0.0,22.64
462.0 2022-01-21,456.41,1/21/2022,2.08,0.22145,0.04134,0.11946,-0.39326,0.00728,0.17975,24171,0.9,462,0.012,5.59,6.0,0.28,-95.33333333,0.5,0.0,22.48
463.0 2022-01-21,456.41,1/21/2022,2.08,0.17948,0.03699,0.10525,-0.33111,0.00646,0.17732,8683,0.7,463,0.014,6.59,5.31,0.2,-96.23352166,0.5,0.0,22.48
464.0 2022-01-21,456.41,1/21/2022,2.08,0.14288,0.03222,0.09032,-0.27184,0.00501,0.17485,8189,0.52,464,0.017,7.59,4.64,0.15,-96.76724138,0.5,0.0,22.48
465.0 2022-01-21,456.41,1/21/2022,2.08,0.11238,0.02738,0.07627,-0.21916,0.0036,0.17389,21175,0.38,465,0.019,8.59,4.04,0.12,-97.02970297,0.5,0.0,22.48
466.0 2022-01-21,456.41,1/21/2022,2.08,0.08491,0.02256,0.06259,-0.16861,0.0033,0.17143,10754,0.27,466,0.021,9.59,3.48,0.08,-97.70114943,0.5,0.0,22.48
467.0 2022-01-21,456.41,1/21/2022,2.08,0.06547,0.01845,0.05112,-0.13264,0.00229,0.17244,8927,0.2,467,0.023,10.59,2.93,0.07,-97.6109215,0.5,0.0,22.48
468.0 2022-01-21,456.41,1/21/2022,2.08,0.04999,0.01497,0.04165,-0.10361,0.00161,0.17326,5571,0.13,468,0.025,11.59,2.44,0.06,-97.54098361,0.5,0.0,22.48
469.0 2022-01-21,456.41,1/21/2022,2.08,0.03794,0.01186,0.0331,-0.07945,0.00099,0.17376,4274,0.1,469,0.028,12.59,1.98,0.05,-97.47474747,0.5,0.0,22.48
470.0 2022-01-21,456.41,1/21/2022,2.08,0.02819,0.00923,0.02577,-0.05894,0.00051,0.17475,19017,0.07,470,0.03,13.59,1.61,0.04,-97.51552795,0.5,0.0,22.48
471.0 2022-01-21,456.41,1/21/2022,2.08,0.02356,0.00784,0.02312,-0.0526,0.00111,0.18052,4345,0.06,471,0.032,14.59,1.26,0.03,-97.61904762,0.5,0.0,22.48
472.0 2022-01-21,456.41,1/21/2022,2.08,0.01749,0.00595,0.01716,-0.03705,0.00058,0.18064,2299,0.04,472,0.034,15.59,0.97,0.03,-96.90721649,0.5,0.0,22.48
473.0 2022-01-21,456.41,1/21/2022,2.08,0.01324,0.00473,0.01432,-0.0301,0.00088,0.18415,817,0.04,473,0.036,16.59,0.75,0.02,-97.33333333,0.5,0.0,22.48
474.0 2022-01-21,456.41,1/21/2022,2.08,0.00953,0.00362,0.01088,-0.02119,-7e-05,0.1843,3032,0.03,474,0.039,17.59,0.56,0.02,-96.42857143,0.5,0.0,22.48
475.0 2022-01-21,456.41,1/21/2022,2.08,0.00915,0.00328,0.01058,-0.02152,-0.00011,0.19362,7278,0.03,475,0.041,18.59,0.42,0.02,-95.23809524,0.5,0.0,22.48
476.0 2022-01-21,456.41,1/21/2022,2.08,0.00929,0.00301,0.00998,-0.02142,0.00077,0.20215,702,0.02,476,0.043,19.59,0.3,0.02,-93.33333333,0.5,0.0,22.48
477.0 2022-01-21,456.41,1/21/2022,2.08,0.00573,0.00207,0.00696,-0.0132,0.00066,0.19892,812,0.02,477,0.045,20.59,0.23,0.02,-91.30434783,0.5,0.0,22.48
478.0 2022-01-21,456.41,1/21/2022,2.08,0.00555,0.00194,0.00656,-0.01364,-0.00026,0.207,10795,0.02,478,0.047,21.59,0.16,0.01,-93.75,0.5,0.0,22.48
479.0 2022-01-21,456.41,1/21/2022,2.08,0.00537,0.00179,0.00654,-0.0133,0.00061,0.21567,106,0.02,479,0.049,22.59,0.12,0.01,-91.66666667,0.5,0.0,22.48
462.0 2022-01-21,454.48,1/21/2022,2.06,0.15935,0.03272,0.0959,-0.31645,0.00517,0.18656,26857,0.61,462,0.017,7.52,6.0,0.28,-95.33333333,0.5,0.0,23.22
463.0 2022-01-21,454.48,1/21/2022,2.06,0.12638,0.02836,0.08194,-0.25716,0.00456,0.18396,9337,0.46,463,0.019,8.52,5.31,0.2,-96.23352166,0.5,0.0,23.22
464.0 2022-01-21,454.48,1/21/2022,2.06,0.09885,0.02394,0.06946,-0.20504,0.00292,0.18274,8563,0.33,464,0.021,9.52,4.64,0.15,-96.76724138,0.5,0.0,23.22
465.0 2022-01-21,454.48,1/21/2022,2.06,0.07656,0.01979,0.05654,-0.16077,0.00239,0.18183,23439,0.25,465,0.023,10.52,4.04,0.12,-97.02970297,0.5,0.0,23.22
466.0 2022-01-21,454.48,1/21/2022,2.06,0.05873,0.0162,0.04685,-0.12524,0.00184,0.18133,11275,0.19,466,0.025,11.52,3.48,0.08,-97.70114943,0.5,0.0,23.22
467.0 2022-01-21,454.48,1/21/2022,2.06,0.04495,0.01318,0.03821,-0.09848,0.00178,0.18227,9196,0.13,467,0.028,12.52,2.93,0.07,-97.6109215,0.5,0.0,23.22
468.0 2022-01-21,454.48,1/21/2022,2.06,0.03622,0.01069,0.03135,-0.07965,0.00134,0.18555,6025,0.11,468,0.03,13.52,2.44,0.06,-97.54098361,0.5,0.0,23.22
469.0 2022-01-21,454.48,1/21/2022,2.06,0.02903,0.00885,0.02623,-0.0671,0.00056,0.18952,4515,0.09,469,0.032,14.52,1.98,0.05,-97.47474747,0.5,0.0,23.22
470.0 2022-01-21,454.48,1/21/2022,2.06,0.02308,0.00716,0.0212,-0.05277,0.00036,0.19148,19617,0.07,470,0.034,15.52,1.61,0.04,-97.51552795,0.5,0.0,23.22
471.0 2022-01-21,454.48,1/21/2022,2.06,0.01972,0.006,0.01868,-0.04542,0.00052,0.19636,4605,0.06,471,0.036,16.52,1.26,0.03,-97.61904762,0.5,0.0,23.22
472.0 2022-01-21,454.48,1/21/2022,2.06,0.01557,0.00499,0.01546,-0.03749,0.00077,0.20031,2619,0.05,472,0.039,17.52,0.97,0.03,-96.90721649,0.5,0.0,23.22
473.0 2022-01-21,454.48,1/21/2022,2.06,0.01305,0.00404,0.01267,-0.03062,0.00065,0.2035,821,0.04,473,0.041,18.52,0.75,0.02,-97.33333333,0.5,0.0,23.22
474.0 2022-01-21,454.48,1/21/2022,2.06,0.0092,0.00308,0.01026,-0.02196,0.00057,0.2027,3078,0.03,474,0.043,19.52,0.56,0.02,-96.42857143,0.5,0.0,23.22
475.0 2022-01-21,454.48,1/21/2022,2.06,0.00896,0.00281,0.00986,-0.02171,0.00047,0.21207,7688,0.02,475,0.045,20.52,0.42,0.02,-95.23809524,0.5,0.0,23.22
476.0 2022-01-21,454.48,1/21/2022,2.06,0.00891,0.00267,0.00911,-0.02194,1e-05,0.22049,711,0.02,476,0.047,21.52,0.3,0.02,-93.33333333,0.5,0.0,23.22
477.0 2022-01-21,454.48,1/21/2022,2.06,0.00517,0.00183,0.00636,-0.01329,0.00017,0.21691,855,0.02,477,0.05,22.52,0.23,0.02,-91.30434783,0.5,0.0,23.22
478.0 2022-01-21,454.48,1/21/2022,2.06,0.00523,0.00171,0.00622,-0.0135,-0.0003,0.22513,10796,0.01,478,0.052,23.52,0.16,0.01,-93.75,0.5,0.0,23.22
479.0 2022-01-21,454.48,1/21/2022,2.06,0.00492,0.00157,0.00604,-0.01327,0.00063,0.23204,124,0.01,479,0.054,24.52,0.12,0.01,-91.66666667,0.5,0.0,23.22
462.0 2022-01-21,455.34,1/21/2022,2.04,0.17859,0.03671,0.10305,-0.33479,0.00629,0.17939,28124,0.7,462,0.015,6.66,6.0,0.28,-95.33333333,0.5,0.0,22.62
463.0 2022-01-21,455.34,1/21/2022,2.04,0.142,0.03192,0.0893,-0.27451,0.00504,0.17726,9831,0.53,463,0.017,7.66,5.31,0.2,-96.23352166,0.5,0.0,22.62
464.0 2022-01-21,455.34,1/21/2022,2.04,0.11192,0.02713,0.07531,-0.2222,0.00343,0.17638,9376,0.38,464,0.019,8.66,4.64,0.15,-96.76724138,0.5,0.0,22.62
465.0 2022-01-21,455.34,1/21/2022,2.04,0.08634,0.02265,0.0627,-0.17561,0.00292,0.17601,26211,0.28,465,0.021,9.66,4.04,0.12,-97.02970297,0.5,0.0,22.62
466.0 2022-01-21,455.34,1/21/2022,2.04,0.06727,0.01862,0.0519,-0.13947,0.00207,0.17666,12194,0.21,466,0.023,10.66,3.48,0.08,-97.70114943,0.5,0.0,22.62
467.0 2022-01-21,455.34,1/21/2022,2.04,0.05028,0.01488,0.04109,-0.10502,0.00146,0.17603,9454,0.15,467,0.026,11.66,2.93,0.07,-97.6109215,0.5,0.0,22.62
468.0 2022-01-21,455.34,1/21/2022,2.04,0.04015,0.01219,0.03423,-0.08659,0.00092,0.17895,6141,0.12,468,0.028,12.66,2.44,0.06,-97.54098361,0.5,0.0,22.62
469.0 2022-01-21,455.34,1/21/2022,2.04,0.03062,0.00967,0.028,-0.06649,0.00085,0.18081,4617,0.09,469,0.03,13.66,1.98,0.05,-97.47474747,0.5,0.0,22.62
470.0 2022-01-21,455.34,1/21/2022,2.04,0.02423,0.00778,0.02233,-0.0528,0.00054,0.18309,19955,0.06,470,0.032,14.66,1.61,0.04,-97.51552795,0.5,0.0,22.62
471.0 2022-01-21,455.34,1/21/2022,2.04,0.02019,0.00648,0.01904,-0.04511,0.00024,0.18859,4837,0.06,471,0.034,15.66,1.26,0.03,-97.61904762,0.5,0.0,22.62
472.0 2022-01-21,455.34,1/21/2022,2.04,0.01652,0.00539,0.01677,-0.03836,0.00018,0.19297,2942,0.05,472,0.037,16.66,0.97,0.03,-96.90721649,0.5,0.0,22.62
473.0 2022-01-21,455.34,1/21/2022,2.04,0.01334,0.0043,0.01288,-0.03036,0.00042,0.19541,876,0.04,473,0.039,17.66,0.75,0.02,-97.33333333,0.5,0.0,22.62
474.0 2022-01-21,455.34,1/21/2022,2.04,0.0098,0.00333,0.00996,-0.02197,0.00062,0.196,3353,0.03,474,0.041,18.66,0.56,0.02,-96.42857143,0.5,0.0,22.62
475.0 2022-01-21,455.34,1/21/2022,2.04,0.00872,0.00305,0.00927,-0.02184,0.00066,0.20444,7932,0.02,475,0.043,19.66,0.42,0.02,-95.23809524,0.5,0.0,22.62
476.0 2022-01-21,455.34,1/21/2022,2.04,0.0087,0.00277,0.00956,-0.02239,-0.0002,0.21382,732,0.02,476,0.045,20.66,0.3,0.02,-93.33333333,0.5,0.0,22.62
477.0 2022-01-21,455.34,1/21/2022,2.04,0.00611,0.00196,0.00668,-0.01323,-0.00014,0.21028,861,0.02,477,0.048,21.66,0.23,0.02,-91.30434783,0.5,0.0,22.62
478.0 2022-01-21,455.34,1/21/2022,2.04,0.00537,0.00186,0.00665,-0.01398,-1e-05,0.21828,10822,0.01,478,0.05,22.66,0.16,0.01,-93.75,0.5,0.0,22.62
479.0 2022-01-21,455.34,1/21/2022,2.04,0.00524,0.00167,0.00642,-0.01366,-0.00016,0.22614,132,0.02,479,0.052,23.66,0.12,0.01,-91.66666667,0.5,0.0,22.62
462.0 2022-01-21,454.52,1/21/2022,2.02,0.15072,0.03285,0.09227,-0.29569,0.00549,0.1809,30407,0.55,462,0.016,7.48,6.0,0.28,-95.33333333,0.5,0.0,23.16
463.0 2022-01-21,454.52,1/21/2022,2.02,0.1199,0.02818,0.07851,-0.24228,0.00382,0.17977,10253,0.4,463,0.019,8.48,5.31,0.2,-96.23352166,0.5,0.0,23.16
464.0 2022-01-21,454.52,1/21/2022,2.02,0.09348,0.02367,0.06577,-0.19185,0.00337,0.17879,9673,0.31,464,0.021,9.48,4.64,0.15,-96.76724138,0.5,0.0,23.16
465.0 2022-01-21,454.52,1/21/2022,2.02,0.07201,0.01945,0.05395,-0.15163,0.0027,0.17922,30429,0.23,465,0.023,10.48,4.04,0.12,-97.02970297,0.5,0.0,23.16
466.0 2022-01-21,454.52,1/21/2022,2.02,0.05529,0.01585,0.04393,-0.11754,0.00145,0.17965,12801,0.17,466,0.025,11.48,3.48,0.08,-97.70114943,0.5,0.0,23.16
467.0 2022-01-21,454.52,1/21/2022,2.02,0.04354,0.01279,0.03566,-0.09356,0.00111,0.18081,10632,0.13,467,0.027,12.48,2.93,0.07,-97.6109215,0.5,0.0,23.16
468.0 2022-01-21,454.52,1/21/2022,2.02,0.03341,0.01039,0.02941,-0.07378,0.0008,0.18286,6338,0.09,468,0.03,13.48,2.44,0.06,-97.54098361,0.5,0.0,23.16
469.0 2022-01-21,454.52,1/21/2022,2.02,0.02657,0.00845,0.0241,-0.06029,0.00132,0.18609,4673,0.07,469,0.032,14.48,1.98,0.05,-97.47474747,0.5,0.0,23.16
470.0 2022-01-21,454.52,1/21/2022,2.02,0.02023,0.00659,0.01977,-0.04512,0.00096,0.18766,30101,0.07,470,0.034,15.48,1.61,0.04,-97.51552795,0.5,0.0,23.16
471.0 2022-01-21,454.52,1/21/2022,2.02,0.01708,0.0055,0.01651,-0.03779,0.00032,0.19232,4982,0.05,471,0.036,16.48,1.26,0.03,-97.61904762,0.5,0.0,23.16
472.0 2022-01-21,454.52,1/21/2022,2.02,0.01327,0.00445,0.01318,-0.03093,0.00052,0.19496,3182,0.04,472,0.038,17.48,0.97,0.03,-96.90721649,0.5,0.0,23.16
473.0 2022-01-21,454.52,1/21/2022,2.02,0.01299,0.0041,0.01241,-0.03059,3e-05,0.20479,946,0.03,473,0.041,18.48,0.75,0.02,-97.33333333,0.5,0.0,23.16
474.0 2022-01-21,454.52,1/21/2022,2.02,0.00949,0.00308,0.00964,-0.02184,3e-05,0.20438,3371,0.02,474,0.043,19.48,0.56,0.02,-96.42857143,0.5,0.0,23.16
475.0 2022-01-21,454.52,1/21/2022,2.02,0.00923,0.00286,0.00905,-0.02206,-0.00014,0.21374,8040,0.02,475,0.045,20.48,0.42,0.02,-95.23809524,0.5,0.0,23.16
476.0 2022-01-21,454.52,1/21/2022,2.02,0.00828,0.00269,0.00952,-0.02174,0.00047,0.22187,792,0.03,476,0.047,21.48,0.3,0.02,-93.33333333,0.5,0.0,23.16
477.0 2022-01-21,454.52,1/21/2022,2.02,0.00559,0.00188,0.0064,-0.0137,0.00024,0.21759,952,0.02,477,0.049,22.48,0.23,0.02,-91.30434783,0.5,0.0,23.16
478.0 2022-01-21,454.52,1/21/2022,2.02,0.00566,0.00168,0.0065,-0.01353,0.00034,0.22632,10826,0.02,478,0.052,23.48,0.16,0.01,-93.75,0.5,0.0,23.16
479.0 2022-01-21,454.52,1/21/2022,2.02,0.005,0.00156,0.00582,-0.01332,-0.00025,0.23362,134,0.02,479,0.054,24.48,0.12,0.01,-91.66666667,0.5,0.0,23.16
462.0 2022-01-21,451.81,1/21/2022,2.0,0.0839,0.02121,0.0601,-0.18001,0.00308,0.18591,33578,0.28,462,0.023,10.19,6.0,0.28,-95.33333333,0.5,0.0,23.99
463.0 2022-01-21,451.81,1/21/2022,2.0,0.06473,0.0175,0.04997,-0.14211,0.00227,0.1859,11384,0.2,463,0.025,11.19,5.31,0.2,-96.23352166,0.5,0.0,23.99
464.0 2022-01-21,451.81,1/21/2022,2.0,0.05095,0.0143,0.04058,-0.11363,0.00142,0.18725,11354,0.15,464,0.027,12.19,4.64,0.15,-96.76724138,0.5,0.0,23.99
465.0 2022-01-21,451.81,1/21/2022,2.0,0.03892,0.0115,0.03261,-0.08799,0.00138,0.18819,35115,0.12,465,0.029,13.19,4.04,0.12,-97.02970297,0.5,0.0,23.99
466.0 2022-01-21,451.81,1/21/2022,2.0,0.02983,0.00915,0.02677,-0.06792,0.00147,0.18947,14473,0.08,466,0.031,14.19,3.48,0.08,-97.70114943,0.5,0.0,23.99
467.0 2022-01-21,451.81,1/21/2022,2.0,0.02345,0.00734,0.02144,-0.053,0.00098,0.1918,11795,0.07,467,0.034,15.19,2.93,0.07,-97.6109215,0.5,0.0,23.99
468.0 2022-01-21,451.81,1/21/2022,2.0,0.01925,0.00616,0.01904,-0.04548,0.00084,0.19685,6605,0.06,468,0.036,16.19,2.44,0.06,-97.54098361,0.5,0.0,23.99
469.0 2022-01-21,451.81,1/21/2022,2.0,0.01567,0.00509,0.01596,-0.03792,0.00069,0.20101,4895,0.05,469,0.038,17.19,1.98,0.05,-97.47474747,0.5,0.0,23.99
